RECRD,VESSLTERMS,AREA_ID,CHART,LATDEC,LONDEC,GP_QUALITY,GP_SOURCE,DEPTH,SOUNDING_T,YEARSUNK
15081,WRECK,I,25650,18.5,-65.8,Low,Direct,225,Fathoms and tenths,1996
14733,WRECK,I,25640,18.225192,-65.187431,Poor,Scaled,15,Fathoms and tenths,1983
50292,SS NORTH WIND,P,16540,54.865867,-159.168728,Poor,Not Provided,0, ,1944
52815,UNKNOWN,P,16682,60.113472,-149.383417,Low,Direct, , ,1967
52589,UNKNOWN,P,16701,59.965044,-147.7029,High,Direct,2,Fathoms and tenths,1952
53803,F/V/ KANDU,P,16645,59.795,-151.913333, ,Not Provided,11,Meters and tenths,1968
54097,F/V SEAFARER,P,16597,57.965958,-153.53557,Low,Scaled, , ,1973
54098,F/V GERTRUDE S,P,16594,58.009291,-153.405565,Low,Scaled,57,Fathoms and tenths,1976
959,SUBCHASER 187,D,12200,37.255697,-75.510747,Low,Not Provided,0, ,1918
960,BIRCH LAKE,D,12200,37.255808,-75.620972,Low,Not Provided,41,Feet and tenths,1943
968,PACIFIC,D,12221,37.314583,-75.607975,Low,Not Provided,0, ,1925
969,UNKNOWN,D,12221,37.327917,-75.681308,Low,Not Provided,0, ,1916
987,ALLEGHANY,D,12210,37.5368,-75.411308,Low,Scaled,56,Feet and tenths,1942
6826,MARY L. LEWIS,D,12221,37.283472,-75.666308,Low,Direct,0, ,1972
6827,GEE-BEE-GEE,D,12224,37.28375,-75.700475,Low,Direct,0, ,1968
2784,SAN ALBANO,D,12210,37.438469,-75.619644,Poor,Not Provided,0, ,1892
2786,MERIDIAN,D,12221,37.283472,-75.649642,Low,Not Provided,0, ,1933
14840,CAPT. RICK,D,12220,36.797806,-75.49275,High,Direct,18.97,Meters and tenths,1975
14714,BOW MARINER,D,12200,37.889306,-74.256222,High,Direct,36.6,Meters and tenths,2004
14908,EASY GO,D,12221,36.943483,-75.516301,Med,Direct, ,Feet and tenths,1969
52403,CLARA NEVADA,O,17317,58.974786,-135.226522,High,Direct,0, ,1908
53749,WRECK,O,17405,55.488056,-133.286111, ,Not Provided,2,Feet and tenths,1990
11196,VINNIE V.,C,12318,39.500117,-74.279586,Poor,Direct, , ,1986
1579,COIMBRA,C,12300,40.386769,-72.357861,Low,Not Provided,0, ,1942
1624,LIZZIE D,C,12326,40.471939,-73.652906,Med,Not Provided,59,Feet and tenths,1922
1630,UNKNOWN,C,12326,40.486214,-73.573739,Low,Not Provided,0, ,1916
2764,EVENING STAR,C,12214,38.851778,-74.601267,Poor,Not Provided,0, ,1942
2600,ACARA,C,12326,40.578369,-73.562422,Med,Scaled,0, ,1902
7722,HOWARD,C,12352,40.5911,-73.501156,Med,Scaled,0, ,1911
12461,MISS LIZ,J,11383,30.389919,-87.230525,Low,Direct, , ,1982
12462,MISS LIZ,J,11383,30.400197,-87.221636,Poor,Direct, , ,1982
12463,UNKNOWN,J,11384,30.396165,-87.225975,High,Direct, , ,1992
12591,UNKNOWN,J,11374,30.273333,-88.476667,Low,Direct, , ,2003
12592,MISS KIM WAN,J,11375,30.199972,-88.533306,Poor,Direct, , ,2003
12345,KATRINA,J,11379,30.530556,-88.105,Med,Direct, , ,2003
12352,UNKNOWN,J,11377,30.282703,-88.149167,Low,Direct, , ,1986
12357,UNKNOWN,J,11378,30.263536,-88.205003,Low,Direct, , ,1986
10266,UNKNOWN,J,11417,27.518639,-82.687028,Poor,Direct, , ,1984
10272,MAGEWIND,J,11417,27.581972,-82.759806,Low,Direct, , ,1977
